Համակարգչային եզրույթների բառարան (Microsoft)
==========

English|Հայերեն
port|միացք
port|տեղափոխ
portable computer|դյուրակիր համակարգիչ
portfolio|թղթապանակ
portrait|ուղղաձիգ
portrait orientation|դիմանկարի ուղղվածություն
POSA|POSA
positioning|տեղորոշում
post|փոստ
post|հրապարակում
Post Bill and AR adjustments|հաշիվը ներկայացնելուց հետո և դեբիտորական պարտավորություններում կատարված ճշտումներ
post grades|հայտարարել գնահատականները
postal code|փոստային դասիչ
poster frame|տեսանյութի նախատեսք
Posterize|Պաստառացում
postmaster|փոստվարպետ
postmaster@mail.hotmail.com|postmaster@mail.hotmail.com
postmaster@windowslivemail.com|postmaster@windowslivemail.com
pound key|վանդականիշ
power|հզորություն
Power|Հոսանք
Power Options|Սնուցման ընտրանքներ
power plan|հոսանքի ծրագիր
power scheme|հոսանքի համակարգ
power trendline|աստիճանային միտման գիծ
Power View|Power View
PowerApps|PowerApps
powered by|օժանդակող՝ / կողմից ապահովվող
powered by Windows Live|օժանդակող՝ Windows Live
PowerPoint|PowerPoint
PowerPoint add-in|PowerPoint-ի հավելվածք
PowerPoint Designer|PowerPoint-ի ձևավորող
PowerPoint Mobile Viewer|PowerPoint Mobile Viewer
PowerPoint Previewer|PowerPoint նախադիտակ
PowerPoint render|PowerPoint-ի նյութավորում
PowerPoint static|PowerPoint-ի հաստատուն
PowerShell Core|PowerShell Core
PPP|PPP
PPPoE|PPPoE
Praise|Երախտիք
pre-boot|նախաբեռնող
precedent|նախադեպ
precision touchpad|ճշգրիտ հպահարթակ
precomposed character|բաղադրյալ գրանշան
predefined bookmark|նախասահմանված էջանիշ
preload|նախաբեռնել
Premium|Premium
Premium account|Premium հաշիվ
pre-order|նախապատվիրել
Pre-orders|Նախապատվերներ
prepaid card|կանխավճարային քարտ
Prepare|Պատրաստել
prepopulation|կենտրոնացված բաշխում
Present Online|Ներկայացնել առցանց
presentation|ներկայացում
presentation broadcast|ներկայացման հեռարձակում
presentation package|ներկայացման փաթեթ
presentation section|ներկայացման խումբ
presentation-level guide|ներկայացման մակարդակի ուղեցույց
Presenter View|Զեկուցողի տեսք
preservation hold library|արխիվային գրադարան
press and hold|սեղմել և պահել
preview|նախատեսք
preview|նախադիտել
preview|նախադիտում
preview bar|նախատեսքի գոտի
preview pane|նախատեսքի փեղկ
previewer|նախադիտակ
PRF|PRF
price list|գնացուցակ
price tier|գնաշարք
primary calendar|առաջնային օրացույց
primary key|առաջնային բանալի
primary mouse button|մկնիկի առաջնային կոճակ
primary table|առաջնային աղյուսակ
primary window|առաջնային պատուհան
primordial pool|Սկզբնական փունջ
print area|տպման տարածք
print device|տպասարք
print preview|տպման նախատեսք
PRINT SCREEN key|PRINT SCREEN ստեղն
print style|տպման ոճ
print titles|տպանվանումներ
Print to OneNote|Տպել OneNote-ում
printer|տպիչ
printer driver|տպիչի սարքավար
Printing and Imaging Devices|Տպման եւ պատկերման սարքեր
privacy|գաղտնիություն
Privacy & cookies|Գաղտնիություն և թխուկներ
Privacy Policy|Գաղտնիության դրույթներ
privacy settings|գաղտնիության կարգավորումներ
privacy statement|գաղտնիության դրույթ
private|մասնավոր
Private Communication Technology|Մասնավոր հաղորդակցման եղանակ
private store|մասնավոր խանութ
privilege attribute certificate|արտոնության հատկանիշի վկայագիր
Proactive Scanner|Կանխիչ սահազննում
procedure|ընթացակարգ
Process|Ընթացք
Process Arrows|Ընթացի սլաքներ
Process List|Ընթացքների ցուցակ
processing instructions|մշակման հրահանգներ
processor|պրոցեսոր
product|արտադրանք
Product Catalog|Արտադրանքի գրացուցակ
product key|արտադրահամար
Productivity|Արդյունավետություն
profile|հատկագիր
profile card|հատկագրի քարտ
profile path|հատկագրի ուղի
ProgID|ProgID
program|ծրագիր
Program Compatibility troubleshooter|ծրագրերի համատեղելիության շտկիչ
programmatic identifier|ծրագրավորելի նույնացուցիչ
programming language|ծրագրավորման լեզու
progress indicator|առաջընթացի ցուցիչ
Progress UI|Օգտվողի առաջընթացի միջերես
project|արձակել
project file|նախագծի նիշք
Project management|Նախագծերի կառավարում
Project Server permission model|Project Server թույլտվության ձևարկ
Project Site|Նախագծի կայք
Project Site Sync|Նախագծի կայքի համաժամում
project team|նախագծի թիմ
Project Web App|Project Web App
Project Web App Site Sync|Project Web App կայքի համաժամում
promote|առաջ տանել
promotional image|աջակցող պատկեր
prompt|հուշանիշ
prompt tone|հուշման տոն
proofing tools|ստուգիչ գործիքներ
Properties|Հատկություններ
property|հատկություն
Property Editor|Հատկությունների խմբագրիչ
property fields|հատկությունների դաշտեր
property page|հատկությունների էջ
property promotion|հատկությունների տարածում
property sheet|հատկությունների թերթ
protect|պաշտպանել
Protected View|Պաշտպանված տեսք
protection level|պաշտպանության մակարդակ
protection point|պաշտպանման կետ
protocol|հաղորդակարգ
provider|մատակարար
provider|տրամադրող / մատուցող
provision|տրամադրել
provisioning package|մատակարարման փաթեթ
proximity|մոտիկություն
proximity sensor|մոտիկության սենսոր
proxy|պրոքսի
proxy server|պրոքսի սպասարկիչ
pseudo-random function|կեղծ-պատահական գործառույթ
PST import|ԱՊՆ ներմուծում
public chat|հանրային զրույց
public folder|հանրային պանակ
public group|հանրային խումբ
public IM|հանրային IM
publication|հրապարակում
public-facing URL|հանրային URL
publish|հրապարակել
Publish to Docs.com|հրապարակել Docs.com-ում
publisher|հրապարակող
publishing|հրապարակում
pull quote|ազդեցիկ մեջբերում
Punctuation Conventions|Կետադրական պայմանականություններ
Purble Pairs|Purble Pairs
purchase after trial|գնել փորձաշրջանից հետո
purchase at download|Գնել ներբեռնելիս
purchaseid|purchaseid
purchaser|գնորդ
Pure|Մաքուր
push button|սեղմակոճակ
push-button reset|վերակայման սեղմակոճակ
Puzzle & trivia|Գլուխկոտրուկներ
Pyramid|Բուրգ
pyramid chart|բուրգաձև գծապատկեր
pyramid diagram|բրգաձև գծապատկեր
Pyramid List|Բուրգի ցուցակ
QST|QST
quad|քառյակ
quadratic formula|քառ. հավ. արմ. բանաձև
qualifying product|որակյալ արտադրանք
quality|որակ
quality update|որակի արդիացում
quality-of-service indicator|ծառայության որակի ցուցիչ
query|հարցում
query design|հարցման ձևավորում
query field|հարցման դաշտ
query rule|հարցման կանոն
Query window|Հարցման պատուհան
queryable managed property|հարցումները կառավարող հատկություն
quest|փնտրում
question mark|հարցական նշան
question-mark pointer|հարցական նշանի ցուցիչ
queue|հերթ
Quick access|Արագ մատչում
Quick Access Toolbar|Արագ մատչման գործիքագոտի
Quick add|Արագ ավելացում
Quick Analysis|Արագ վերլուծություն
Quick Assist|Արագ օգնություն
Quick Click category|Արագ կտտացման կարգ
Quick Click flag|Արագ կտտոցի դրոշ
Quick Commands Toolbar|Արագ հրամանների գործիքագոտի
Quick Contacts|Արագ կապորդներ
Quick Edit|Արագ խմբագրում
Quick Explore|Արագ դիտարկում
Quick Filter|Արագ զտիչ
Quick Filters|Արագ զտիչներ
Quick Filters for message list|Արագ զտիչներ ուղերձների ցուցակի համար
Quick Notes|Արագ նշումներ
Quick Parts|Նմուշաձևեր
Quick Parts gallery|Նմուշաձևերի սրահ
quick play|արագ նվագարկում
Quick Preview|Արագ նախասեսք
Quick Rules|Արագ կանոններ
Quick Search|Արագ որոնում
Quick start|Արագ մեկնարկ
Quick Steps|Արագ քայլեր
Quick Style set|Արագ ոճերի կազմ
Quick Styles|Արագ ոճեր
Quick suggestions|Արագ առաջարկներ
Quick Tabs|Արագ ներդիրներ
Quick Tag Tree|Արագ սյունատման ծառ
QuickStarter|Արագ մեկնարկիչ
QuickTime|QuickTime
Racing & flying|Մրցարշավներ և թռիչքներ
radar chart|շառավղաձեւ գծույթ
Radial Cycle|Շառավղային շրջան
radial diagram|շառավղային գծապատկեր
Radial List|Շառավղի ցուցակ
radial menu|շառավղային ցանկ
Radial Venn|Շառավղային վրածածք
Radio|Ռադիո
radio button|կետակոճակ
radio frequency identification sensor|ռադիոհաճախության նույնականացման սենսոր
RAM|RAM
random access memory|դիպվածամատչելի հիշողություն
range name|ընդգրկույթի անուն
ranking model|դասակարգման ձևարկ
rating|գնահատում
Ratings and reviews|Վարկանիշներ եւ դիտարկումներ
raw notification|հում ծանուցում
RDF Site Summary|RDF կայքի ամփոփում
RDMA|RDMA
RDP|RDP
read aloud|բարձրաձայն ընթերցել
Read mode|Ընթերցման կերպ
read/write|կարդալ/գրել
Readability Statistics|ընթեռնելիության վիճակագրություն
